"","mgi_symbol","Frequency.x","WT_percent_Myh11_TFs","Frequency.y","MutAll_percent_Myh11_TFs","Δfrequency","Δpercent","Murine_RNA-seq_cluster_UP","Murine_RNA-seq_cluster_DOWN"
"3156","Psap",1153,11.8865979381443,1144,11.7938144329897,9,0.0927835051545998,"NAcluster_1,cluster_4,","NAcluster_6,cluster_7,"
"3163","Synpo2",1152,11.8762886597938,1148,11.8350515463918,4,0.0412371134020013,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"3165","Sp7",1152,11.8762886597938,1147,11.8247422680412,5,0.0515463917526002,"NAcluster_7,",NA
"3182","Ptp4a3",1148,11.8350515463918,1134,11.6907216494845,14,0.144329896907299,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"3205","Itgbl1",1145,11.8041237113402,1112,11.4639175257732,33,0.340206185567,"NAcluster_3,cluster_4,cluster_5,","NAcluster_6,cluster_7,"
"3227","Pi15",1142,11.7731958762887,1135,11.7010309278351,7,0.0721649484535991,"NAcluster_3,",NA
"3244","Gja1",1140,11.7525773195876,1089,11.2268041237113,51,0.525773195876299,"NAcluster_5,","NAcluster_7,"
"3845","Ngef",1127,11.6185567010309,1110,11.4432989690722,17,0.1752577319587,"NAcluster_7,","NAcluster_3,"
"3902","Esd",1122,11.5670103092784,1116,11.5051546391753,6,0.0618556701030997,NA,"NAcluster_7,"
"3927","Lgr6",1119,11.5360824742268,1116,11.5051546391753,3,0.0309278350515001,"NAcluster_1,",NA
"3931","Klf6",1118,11.5257731958763,1057,10.8969072164948,61,0.6288659793815,"NAcluster_3,","NAcluster_7,"
"3952","Col9a1",1116,11.5051546391753,1106,11.4020618556701,10,0.1030927835052,"NAcluster_7,","NAcluster_1,cluster_3,cluster_4,"
"3957","Mfap5",1115,11.4948453608247,1111,11.4536082474227,4,0.0412371134019995,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"3959","Blvrb",1115,11.4948453608247,1109,11.4329896907216,6,0.0618556701030997,NA,"NAcluster_7,"
"3995","S100a10",1112,11.4639175257732,1052,10.8453608247423,60,0.618556701030899,"NAcluster_5,","NAcluster_1,cluster_6,cluster_7,"
"4167","Tm4sf1",1096,11.2989690721649,1071,11.0412371134021,25,0.257731958762799,"NAcluster_1,cluster_2,cluster_3,cluster_5,","NAcluster_7,"
"4184","Adamts1",1094,11.2783505154639,1090,11.2371134020619,4,0.0412371134020013,"NAcluster_3,",NA
"4187","Lmna",1094,11.2783505154639,1090,11.2371134020619,4,0.0412371134020013,"NAcluster_3,cluster_5,","NAcluster_7,"
"4362","Mylk",1079,11.1237113402062,1066,10.9896907216495,13,0.134020618556699,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"4368","Serpinh1",1079,11.1237113402062,1009,10.4020618556701,70,0.721649484536099,"NAcluster_7,","NAcluster_1,cluster_2,"
