,A1_CRRA190009494,A2_CRRA190009495,A3_CRRA190009496,A4_CRRA190009497,B1_CRRA190009498,B2_CRRA190009499,B3_CRRA190009500,B4_CRRA190009501,D1_CRRA190009506,D2_CRRA190009507,D3_CRRA190009508,D4_CRRA190009509
Ttyh3,1340.139,1375.972,1357.619,1526.838,2174.516,1862.87,1596.365,1437.679,1201.674,1202.302,1297.911,1222.051
Iqce,608.9779,507.7275,546.2609,587.5636,894.0125,677.492,744.0762,542.6627,535.5506,625.4492,614.1902,564.7128
Brat1,674.9182,667.9571,723.9966,708.5935,695.5224,661.6497,621.554,619.9167,676.3239,653.347,691.0956,667.2974
Amz1,88.24362,96.13775,93.38652,74.4799,50.02597,80.14349,63.49689,120.5917,179.537,143.9883,222.2884,147.403
Gna12,1409.958,1207.73,1200.971,1223.746,1002.133,1266.453,1003.43,1215.338,1329.186,1373.289,1295.804,1303.72
Card11,0,0,0,0,0,0,0,0,0,0,0,0
Sdk1,0,0,0,0,0,0,0,0,0,0,0,0
Foxk1,2233.242,2185.131,2039.441,1925.098,1683.939,1765.952,1990.762,2088.686,2494.136,2284.914,2370.374,2288.73
Ap5z1,673.9485,684.9814,727.009,624.8036,997.2919,809.822,730.6613,666.0808,735.4895,814.4339,761.6801,735.0231
Radil,25.21246,40.05739,22.09144,35.17106,49.2191,40.07174,42.03315,32.97429,42.84405,42.29657,27.39098,35.85478
Papolb,3.87884,2.00287,0,0,4.034352,7.455208,0,6.594859,3.060289,0.8999269,0,0
Mmd2,0,0,0,0,0,0,0,0,0,0,0,0
Wipi2,2245.849,2103.013,2188.056,2057.507,1964.73,2160.147,2214.342,2380.744,2444.151,2430.703,2309.271,2260.843
Slc29a4,0,0,0,0,8.875575,0,0.8943223,0,1.020096,0,0,0
Tnrc18,10014.2,11126.94,10398.04,11709.9,11939.26,10487.61,11881.07,13088.91,7714.989,8109.242,7767.451,8583.237
Fbxl18,233.7001,191.2741,197.8188,201.7164,314.6795,287.0255,224.4749,214.804,247.8834,266.3784,238.0909,223.0964
Actb,59026.25,53956.31,53358.85,50543.92,52015.71,55685.75,52509.24,55354.42,46912.19,49320.5,41186.56,39866.54
Fscn1,683.6456,566.8121,620.5685,706.5246,463.9505,580.5743,569.6833,725.4345,481.4855,576.8532,509.8937,560.729
Rnf216,1852.146,1760.522,1701.041,1766.829,1749.295,1848.892,1726.936,1867.287,1585.23,1561.373,1788.842,1668.243
Rbakdn,0,0,0,0,0,0,0,0,0,0,0,0
Rbak,277.3371,318.4563,310.2842,276.1963,434.9032,285.1617,295.1264,259.0837,268.2854,259.179,309.7288,253.9714
Spdye4b,0,0,0,0,0,0,0,0,0,0,0,0
Spdye4a,0,0,0,0,0,0,0,0,0,0,0,0
4930448H16Rik,0,0,1.004156,0,0,0.931901,1.788645,0,0,0.8999269,0,1.991932
Zfp12,840.7386,762.0919,777.2169,809.9689,885.1369,1006.453,999.8524,809.2834,656.9421,700.1432,687.9351,705.1441
Zfp316,946.437,910.3043,804.3291,798.59,879.4888,804.2306,773.5888,911.9748,743.6503,818.9335,753.2521,918.2808
E130309D02Rik,701.1004,641.9197,641.6558,653.768,611.6078,587.0976,587.5698,720.7239,645.721,631.7487,646.8486,610.5273
Zdhhc4,1087.045,1175.685,1047.335,876.1732,1147.37,1091.256,897.8996,965.6758,985.4131,1160.006,979.7545,998.9541
0610040B10Rik,11.63652,12.01722,10.04156,7.241101,35.5023,15.84232,19.67509,9.421227,23.46222,20.69832,14.74899,20.91529
Grid2ip,3.87884,7.010044,3.012468,7.241101,4.841223,2.795703,5.365934,3.768491,0,8.099342,1.053499,10.95563
Kdelr2,3956.417,3900.589,3541.659,3582.276,2966.056,3515.131,3022.81,3477.375,3784.558,4194.559,3497.618,3438.075
Daglb,1090.924,1068.531,1029.26,995.1342,856.0896,923.5139,922.0463,951.5439,993.5739,1002.519,1059.82,930.2324
Rac1,9386.793,9582.73,9252.295,9254.127,7420.788,7923.022,7592.797,8757.031,10129.56,10501.25,9742.763,9532.393
Fam220a,834.9204,885.2684,802.3208,873.0699,658.4063,850.8256,791.4753,910.0905,794.6551,813.5339,861.7625,772.8698
Cyth3,5672.804,5941.513,5304.957,5269.453,4612.879,4612.91,4938.448,5699.842,7002.962,7011.331,6394.741,6551.466
Usp42,528.492,490.7031,429.7788,474.8094,536.5689,531.1836,521.3899,481.4247,482.5056,532.7567,399.2763,475.0759
D130017N08Rik,31.03072,46.066,44.18287,39.30884,34.69543,61.50547,53.65934,59.35373,54.06511,44.99635,34.76548,45.81445
Eif2ak1,1701.841,1788.563,1572.509,1575.457,1513.689,1660.648,1517.665,1633.641,1578.089,1757.557,1621.336,1656.292
Ankrd61,14.54565,10.01435,8.033249,17.58553,16.13741,13.97852,5.365934,15.07396,8.160771,6.299489,8.427995,4.979831
Aimp2,596.3717,571.8193,705.9218,620.6658,557.5475,687.743,621.554,513.4569,504.9477,571.4536,582.5852,522.8823
Pms2,303.5193,262.3759,256.0598,252.4041,284.8253,287.9574,237.8897,262.8522,351.9333,273.5778,286.5518,232.0601
Ccz1,1224.744,1247.788,1200.971,1278.572,1169.155,1287.887,1231.482,1160.695,1353.668,1311.194,1330.57,1363.478
Ocm,0,0,0,0,0,0,0,0,0,0,0,0
Lmtk2,1310.078,1261.808,1146.746,1383.05,1192.555,1293.479,1261.889,1399.052,1151.689,1275.196,1199.936,1152.333
Bhlha15,1.93942,1.001435,0,0,3.227482,0.931901,2.682967,1.884245,0,0,3.160498,1.991932
Tecpr1,1852.146,1840.637,1836.602,1868.204,1934.069,1882.44,1882.549,2170.651,1874.937,1885.347,1879.443,1977.989
